"FlowORT","balance-scale_enc_reg.csv",2,10,3600,5.405933783204277e-08,90.3952428817749,0.16906585210142272,0.37285137079231256,0.18233486943165955,0.3030661162313777
"FlowORT_binary","balance-scale_enc_reg.csv",2,10,3600,0.0,548.5284713983535,0.16906585210141398,0.37285137079234476,0.18233486943164362,0.30306611623143886
"FlowOCT","balance-scale_enc_reg.csv",2,10,3600,5.4054054209764764e-08,26.859852719306947,0.16906585210141398,0.37285137079234476,0.18233486943164362,0.30306611623143886
"FlowORT","monk1_enc_reg.csv",2,5,3600,0.0,2.215068531036377,0.1673131313131313,0.6446687370600415,0.2833333333333333,0.2694444444444445
"FlowORT_binary","monk1_enc_reg.csv",2,5,3600,0.0,6.299105024337768,0.1673131313131313,0.6446687370600415,0.2833333333333333,0.2694444444444445
"FlowOCT","monk1_enc_reg.csv",2,5,3600,2.3684757858670005e-15,0.6349420547485352,0.1673131313131313,0.6446687370600415,0.2833333333333333,0.26944444444444443
"FlowORT","house-votes-84_enc_reg.csv",2,5,3600,7.105427357601002e-15,0.8694422721862793,0.030183086312118572,0.9350859153198947,0.030342275670675302,0.9213972431077695
"FlowORT_binary","house-votes-84_enc_reg.csv",2,5,3600,0.0,4.160453033447266,0.030183086312118572,0.9350859153198947,0.030342275670675302,0.9213972431077695
"FlowOCT","house-votes-84_enc_reg.csv",2,5,3600,0.0,0.7715097427368164,0.030183086312118572,0.9350859153198947,0.030342275670675302,0.9213972431077695
"FlowORT","hayes-roth_enc_reg.csv",2,5,3600,0.0,1.9187446117401123,0.1884366576819407,0.3850346389770838,0.28774928774928776,0.019084967320261458
"FlowORT_binary","hayes-roth_enc_reg.csv",2,5,3600,0.0,5.639523267745972,0.1884366576819407,0.3850346389770838,0.28774928774928776,0.019084967320261458
"FlowOCT","hayes-roth_enc_reg.csv",2,5,3600,0.0,0.6209110260009766,0.1884366576819407,0.3850346389770838,0.28774928774928776,0.019084967320261416
"FlowORT","breast-cancer_enc_reg.csv",2,5,3600,0.0,34.68905873298645,0.22023154376095552,0.24686875313740986,0.26720779220779217,0.08011904761904765
"FlowORT_binary","breast-cancer_enc_reg.csv",2,5,3600,0.0,80.77107458114624,0.22023154376095552,0.24686875313740986,0.26720779220779217,0.07821428571428575
"FlowOCT","breast-cancer_enc_reg.csv",2,5,3600,0.0,18.03183159828186,0.22023154376095552,0.24686875313740986,0.26720779220779217,0.08011904761904765
